Filename,RRT,Group,Class,MF,Treatment,ID,Year,Month,VOC,ER_final,log_10,Plot,sampling
15.8_h_OCT.CDF,1.351,GLV,ester,C10H18O2,H,8_h,2018,October,cis-3-hexenyl butyrate,0,7.6,8,three
19.11_n_OCT.CDF,2.451,HC,alkane,C20H32,N,11_n,2018,October,p-camphorene,0,7.6,11,three
19.11_n_OCT.CDF,1.48,oMT,oMT,C10H16O2,N,11_n,2018,October,omt,0,7.6,11,three
4.2_h_OCT.CDF,0.456,OVOC,ester,C5H10O2,H,2_h,2018,October,"butanoic acid, methyl ester",0,7.6,2,three
17.9_n_OCT.CDF,0.516,OVOC,ovoc,C6H14O2,N,9_n,2018,October,"2,2-dimethoxybutane",0,7.61,9,three
2.1_c_OCT.CDF,1.565,OVOC,ovoc,,C,1_c,2018,October,ovoc,0,7.61,1,three
17.9_n_OCT.CDF,1.511,OVOC,ovoc,,N,9_n,2018,October,ovoc,0,7.62,9,three
4.2_h_OCT.CDF,1.48,oMT,oMT,C10H16O2,H,2_h,2018,October,omt,0,7.62,2,three
2.1_c_OCT.CDF,1,GLV,ester,C8H14O2,C,1_c,2018,October,cis-3-hexenyl acetate,0,7.63,1,three
19.11_n_OCT.CDF,1.038,OTHER,other,C7H5NO,N,11_n,2018,October,benzoxazole,0,7.64,11,three
17.9_n_OCT.CDF,1.375,OVOC,oBz,C11H16O,N,9_n,2018,October,obz,0,7.66,9,three
17.9_n_OCT.CDF,1.635,oMT,oMT,,N,9_n,2018,October,omt,0,7.66,9,three
17.9_n_OCT.CDF,1.764,oMT,oMT,,N,9_n,2018,October,omt,0,7.66,9,three
17.9_n_OCT.CDF,1.665,OTHER,other,,N,9_n,2018,October,other,0,7.67,9,three
21.12_c_OCT.CDF,1.079,OVOC,ovoc,C9H18O,C,12_c,2018,October,ovoc,0,7.69,12,three
21.12_c_OCT.CDF,0.516,OVOC,ovoc,C6H14O2,C,12_c,2018,October,"2,2-dimethoxybutane",0,7.69,12,three
23.19_c_OCT.CDF,0.516,OVOC,ovoc,C6H14O2,C,19_c,2018,October,"2,2-dimethoxybutane",0,7.7,19,three
6.3_hxn_OCT.CDF,1.386,OVOC,oBz,C8H8O3,HxN,3_hxn,2018,October,methyl salicylate,0,7.7,3,three
6.3_hxn_OCT.CDF,0.516,OVOC,ovoc,C6H14O2,HxN,3_hxn,2018,October,"2,2-dimethoxybutane",0.01,7.7,3,three
4.2_h_OCT.CDF,1.375,OVOC,oBz,C11H16O,H,2_h,2018,October,obz,0.01,7.71,2,three
23.19_c_OCT.CDF,0.905,OVOC,ovoc,,C,19_c,2018,October,ovoc,0.01,7.72,19,three
19.11_n_OCT.CDF,1.565,OVOC,ovoc,,N,11_n,2018,October,ovoc,0.01,7.73,11,three
9.5_h_OCT.CDF,1.365,OVOC,oBz,C9H10O,H,5_h,2018,October,1-(3-methylphenyl)-ethanone,0.01,7.73,5,three
4.2_h_OCT.CDF,1.215,oMT,oMT,C10H16O,H,2_h,2018,October,b-thujone,0.01,7.73,2,three
17.9_n_OCT.CDF,1.681,OVOC,ovoc,,N,9_n,2018,October,ovoc,0.01,7.73,9,three
2.1_c_OCT.CDF,1.681,OVOC,ovoc,,C,1_c,2018,October,ovoc,0.01,7.74,1,three
23.19_c_OCT.CDF,1.215,oMT,oMT,C10H16O,C,19_c,2018,October,b-thujone,0.01,7.76,19,three
4.2_h_OCT.CDF,1.665,OTHER,other,,H,2_h,2018,October,other,0.01,7.76,2,three
2.1_c_OCT.CDF,1.362,OVOC,oBz,C10H14O,C,1_c,2018,October,"a,a,4-trimethyl-benzenemethanol",0.01,7.76,1,three
13.7_hxn_OCT.CDF,0.628,OVOC,ovoc,C7H14O,HxN,7_hxn,2018,October,1-methoxy-2-hexene,0.01,7.77,7,three
11.6_n_OCT.CDF,0.456,OVOC,ester,C5H10O2,N,6_n,2018,October,"butanoic acid, methyl ester",0.01,7.78,6,three
21.12_c_OCT.CDF,1.835,ST,ST,C15H22,C,12_c,2018,October,st,0.01,7.79,12,three
21.12_c_OCT.CDF,1.812,OVOC,ketone,C13H22O,C,12_c,2018,October,"6,10-dimethyl-5,9-undecadien-2-one",0.01,7.8,12,three
2.1_c_OCT.CDF,0.516,OVOC,ovoc,C6H14O2,C,1_c,2018,October,"2,2-dimethoxybutane",0.01,7.8,1,three
13.7_hxn_OCT.CDF,1.375,OVOC,oBz,C11H16O,HxN,7_hxn,2018,October,obz,0.01,7.8,7,three
19.11_n_OCT.CDF,1.365,OVOC,oBz,C9H10O,N,11_n,2018,October,1-(3-methylphenyl)-ethanone,0.01,7.8,11,three
23.19_c_OCT.CDF,1.565,OVOC,ovoc,,C,19_c,2018,October,ovoc,0.01,7.8,19,three
15.8_h_OCT.CDF,0.456,OVOC,ester,C5H10O2,H,8_h,2018,October,"butanoic acid, methyl ester",0.01,7.81,8,three
13.7_hxn_OCT.CDF,1.023,OVOC,ovoc,C9H18O,HxN,7_hxn,2018,October,methoxy-cyclooctane,0.01,7.81,7,three
19.11_n_OCT.CDF,1.215,oMT,oMT,C10H16O,N,11_n,2018,October,b-thujone,0.01,7.81,11,three
9.5_h_OCT.CDF,0.516,OVOC,ovoc,C6H14O2,H,5_h,2018,October,"2,2-dimethoxybutane",0.01,7.81,5,three
9.5_h_OCT.CDF,1.215,oMT,oMT,C10H16O,H,5_h,2018,October,b-thujone,0.01,7.83,5,three
13.7_hxn_OCT.CDF,1.635,oMT,oMT,,HxN,7_hxn,2018,October,omt,0.01,7.83,7,three
13.7_hxn_OCT.CDF,1.665,OTHER,other,,HxN,7_hxn,2018,October,other,0.01,7.83,7,three
15.8_h_OCT.CDF,1.511,OVOC,ovoc,,H,8_h,2018,October,ovoc,0.01,7.83,8,three
23.19_c_OCT.CDF,1.681,OVOC,ovoc,,C,19_c,2018,October,ovoc,0.01,7.84,19,three
21.12_c_OCT.CDF,0.338,OVOC,ester,C4H8O2,C,12_c,2018,October,methyl propionate,0.01,7.84,12,three
13.7_hxn_OCT.CDF,1.48,oMT,oMT,C10H16O2,HxN,7_hxn,2018,October,omt,0.01,7.84,7,three
